Time,Timestamp,GE - HR (ECG),GE - SpO₂ 1,GE - HR (SpO₂) 1,GE - Temp 1,GE - Temp 2,GE - RR (CO₂),GE - RR (imp) 1
2023-03-16 08:25:01,1678973101.840269,155,88,155,,,,49
2023-03-16 08:25:03,1678973103.829637,155,89,156,,,,57
2023-03-16 08:25:05,1678973105.839691,156,90,157,,,,57
2023-03-16 08:25:07,1678973107.829924,157,92,158,,,,47
2023-03-16 08:25:09,1678973109.837374,158,92,158,,,,41
2023-03-16 08:25:11,1678973111.827536,158,91,156,,,,35
2023-03-16 08:25:13,1678973113.833465,158,89,157,,,,42
2023-03-16 08:25:15,1678973115.834457,157,88,157,,,,39
2023-03-16 08:25:17,1678973117.840409,157,87,157,,,,51
2023-03-16 08:25:19,1678973119.830827,156,88,156,,,,62
2023-03-16 08:25:21,1678973121.836834,156,88,156,,,,69
2023-03-16 08:25:23,1678973123.82709,156,89,158,,,,54
2023-03-16 08:25:25,1678973125.834572,156,89,160,,,,46
2023-03-16 08:25:27,1678973127.840502,157,88,160,,,,39
2023-03-16 08:25:29,1678973129.830684,158,88,158,,,,44
2023-03-16 08:25:31,1678973131.836567,158,88,157,,,,82
2023-03-16 08:25:33,1678973133.826964,159,88,156,,,,82
2023-03-16 08:25:35,1678973135.832846,159,88,156,,,,78
2023-03-16 08:25:37,1678973137.838752,158,86,156,,,,65
2023-03-16 08:25:39,1678973139.828923,158,88,156,,,,87
2023-03-16 08:25:41,1678973141.83474,157,88,156,,,,79
2023-03-16 08:25:43,1678973143.840584,157,88,156,,,,56
2023-03-16 08:25:45,1678973145.830915,156,89,156,,,,56
2023-03-16 08:25:47,1678973147.842315,156,89,156,,,,49
2023-03-16 08:25:49,1678973149.832519,156,88,156,,,,41
2023-03-16 08:25:51,1678973151.838271,156,89,156,,,,41
2023-03-16 08:25:53,1678973153.828594,156,89,156,,,,58
2023-03-16 08:25:55,1678973155.834441,156,89,155,,,,72
2023-03-16 08:25:57,1678973157.840196,155,90,154,,,,62
2023-03-16 08:25:59,1678973159.830389,155,89,153,,,,53
2023-03-16 08:26:01,1678973161.836329,154,89,152,,,,51
2023-03-16 08:26:03,1678973163.82674,154,89,153,,,,53
2023-03-16 08:26:05,1678973165.832766,153,89,154,,,,56
2023-03-16 08:26:07,1678973167.83882,153,89,155,,,,69
2023-03-16 08:26:09,1678973169.828968,153,89,156,,,,87
2023-03-16 08:26:11,1678973171.834965,153,89,155,,,,78
2023-03-16 08:26:13,1678973173.825272,153,88,156,,,,62
2023-03-16 08:26:15,1678973175.831516,153,85,156,,,,62
2023-03-16 08:26:17,1678973177.837395,153,78,155,,,,61
2023-03-16 08:26:19,1678973179.828185,153,77,155,,,,65
2023-03-16 08:26:21,1678973181.834905,153,77,154,,,,79
2023-03-16 08:26:23,1678973183.825065,153,77,154,,,,60
2023-03-16 08:26:25,1678973185.831044,153,80,154,,,,57
2023-03-16 08:26:27,1678973187.837505,153,86,153,,,,70
2023-03-16 08:26:29,1678973189.827666,153,90,153,,,,57
2023-03-16 08:26:31,1678973191.833724,153,90,153,,,,53
2023-03-16 08:26:33,1678973193.839542,153,91,155,,,,58
2023-03-16 08:26:35,1678973195.829745,153,91,157,,,,54
2023-03-16 08:26:37,1678973197.835817,153,91,157,,,,50
2023-03-16 08:26:39,1678973199.824376,154,90,157,,,,41
2023-03-16 08:26:41,1678973201.827854,154,90,156,,,,60
2023-03-16 08:26:43,1678973203.831967,155,91,155,,,,77
2023-03-16 08:26:45,1678973205.835413,154,90,155,,,,78
2023-03-16 08:26:47,1678973207.838801,154,89,154,,,,76
2023-03-16 08:26:49,1678973209.827037,153,90,153,,,,75
2023-03-16 08:26:51,1678973211.830544,153,92,152,,,,63
2023-03-16 08:26:53,1678973213.834069,153,92,152,,,,52
2023-03-16 08:26:55,1678973215.837728,153,93,153,,,,37
2023-03-16 08:26:57,1678973217.826132,153,93,154,,,,39
2023-03-16 08:26:59,1678973219.830079,153,92,154,,,,66
2023-03-16 08:27:01,1678973221.833659,153,93,154,,,,73
2023-03-16 08:27:03,1678973223.837111,153,92,153,,,,72
2023-03-16 08:27:05,1678973225.831031,153,91,153,,,,52
2023-03-16 08:27:07,1678973227.836843,153,91,154,,,,47
2023-03-16 08:27:09,1678973229.827225,153,92,154,,,,67
2023-03-16 08:27:11,1678973231.833133,153,93,153,,,,56
2023-03-16 08:27:13,1678973233.838988,153,92,152,,,,54
2023-03-16 08:27:15,1678973235.829468,153,92,152,,,,72
2023-03-16 08:27:17,1678973237.835271,153,93,152,,,,62
2023-03-16 08:27:19,1678973239.825656,153,93,152,,,,54
2023-03-16 08:27:21,1678973241.831641,153,92,152,,,,50
2023-03-16 08:27:23,1678973243.83764,153,92,152,,,,54
2023-03-16 08:27:25,1678973245.82783,153,93,152,,,,68
2023-03-16 08:27:27,1678973247.830457,153,92,152,,,,76
2023-03-16 08:27:29,1678973249.836331,153,92,152,,,,76
2023-03-16 08:27:31,1678973251.826514,153,92,151,,,,74
2023-03-16 08:27:33,1678973253.832084,153,92,151,,,,60
2023-03-16 08:27:35,1678973255.837892,153,92,151,,,,52
2023-03-16 08:27:37,1678973257.828308,153,93,152,,,,47
2023-03-16 08:27:39,1678973259.834221,153,92,152,,,,41
2023-03-16 08:27:41,1678973261.824337,153,92,151,,,,45
2023-03-16 08:27:43,1678973263.830357,153,93,151,,,,61
2023-03-16 08:27:45,1678973265.836382,152,92,150,,,,61
2023-03-16 08:27:47,1678973267.826848,151,91,150,,,,55
2023-03-16 08:27:49,1678973269.832943,151,92,150,,,,57
2023-03-16 08:27:51,1678973271.823173,150,92,151,,,,66
2023-03-16 08:27:53,1678973273.828942,150,93,150,,,,70
2023-03-16 08:27:55,1678973275.834754,150,92,150,,,,69
2023-03-16 08:27:57,1678973277.824916,150,92,149,,,,68
2023-03-16 08:27:59,1678973279.830689,150,92,150,,,,64
2023-03-16 08:28:01,1678973281.8365,150,92,150,,,,55
2023-03-16 08:28:03,1678973283.826688,150,92,150,,,,57
2023-03-16 08:28:05,1678973285.832487,150,92,149,,,,47
2023-03-16 08:28:07,1678973287.823583,150,91,150,,,,47
2023-03-16 08:28:09,1678973289.829519,150,91,151,,,,65
2023-03-16 08:28:11,1678973291.835406,150,91,150,,,,75
2023-03-16 08:28:13,1678973293.825606,150,91,150,,,,75
2023-03-16 08:28:15,1678973295.825084,150,91,150,,,,70
2023-03-16 08:28:17,1678973297.831382,150,89,150,,,,50
2023-03-16 08:28:19,1678973299.821601,150,89,150,,,,37
2023-03-16 08:28:21,1678973301.827447,151,89,151,,,,35
2023-03-16 08:28:23,1678973303.832764,152,89,152,,,,27
2023-03-16 08:28:25,1678973305.824962,153,89,151,,,,47
2023-03-16 08:28:27,1678973307.832761,154,89,151,,,,78
2023-03-16 08:28:29,1678973309.822966,153,89,151,,,,77
2023-03-16 08:28:31,1678973311.828776,153,90,150,,,,75
2023-03-16 08:28:33,1678973313.834727,152,90,150,,,,72
2023-03-16 08:28:35,1678973315.824938,151,90,149,,,,71
2023-03-16 08:28:37,1678973317.829866,151,90,149,,,,62
2023-03-16 08:28:39,1678973319.834687,150,90,150,,,,51
2023-03-16 08:28:41,1678973321.82386,150,90,150,,,,47
2023-03-16 08:28:43,1678973323.829237,150,90,151,,,,43
2023-03-16 08:28:45,1678973325.834034,150,91,151,,,,47
2023-03-16 08:28:47,1678973327.823672,150,90,151,,,,46
2023-03-16 08:28:49,1678973329.829106,150,90,151,,,,50
2023-03-16 08:28:51,1678973331.834549,151,91,151,,,,51
2023-03-16 08:28:53,1678973333.825207,151,90,152,,,,50
2023-03-16 08:28:55,1678973335.829947,152,90,152,,,,57
2023-03-16 08:28:57,1678973337.834849,152,90,151,,,,58
2023-03-16 08:28:59,1678973339.824765,152,90,151,,,,69
2023-03-16 08:29:01,1678973341.830386,152,91,151,,,,75
2023-03-16 08:29:03,1678973343.820721,151,90,150,,,,75
2023-03-16 08:29:05,1678973345.825699,151,91,150,,,,78
2023-03-16 08:29:07,1678973347.832739,150,91,150,,,,60
2023-03-16 08:29:09,1678973349.822015,150,91,150,,,,51
2023-03-16 08:29:11,1678973351.82694,150,91,151,,,,46
2023-03-16 08:29:13,1678973353.83185,150,91,151,,,,51
2023-03-16 08:29:15,1678973355.831444,151,91,151,,,,75
2023-03-16 08:29:17,1678973357.820694,151,91,150,,,,74
2023-03-16 08:29:19,1678973359.825675,150,91,150,,,,75
2023-03-16 08:29:21,1678973361.830601,150,91,149,,,,77
2023-03-16 08:29:23,1678973363.819847,150,91,149,,,,73
2023-03-16 08:29:25,1678973365.824745,150,90,149,,,,79
2023-03-16 08:29:27,1678973367.830292,150,91,149,,,,69
2023-03-16 08:29:29,1678973369.820217,150,90,150,,,,65
2023-03-16 08:29:31,1678973371.825193,150,90,151,,,,69
2023-03-16 08:29:33,1678973373.830717,150,90,150,,,,75
2023-03-16 08:29:35,1678973375.820019,150,89,150,,,,69
2023-03-16 08:29:37,1678973377.824899,150,89,150,,,,67
2023-03-16 08:29:39,1678973379.830368,150,90,150,,,,77
2023-03-16 08:29:41,1678973381.819595,150,90,150,,,,80
2023-03-16 08:29:43,1678973383.824879,150,90,149,,,,73
2023-03-16 08:29:45,1678973385.830219,150,90,149,,,,74
2023-03-16 08:29:47,1678973387.819395,150,90,149,,,,75
2023-03-16 08:29:49,1678973389.824828,150,90,149,,,,62
2023-03-16 08:29:51,1678973391.830283,150,90,149,,,,56
2023-03-16 08:29:53,1678973393.819575,150,90,149,,,,63
2023-03-16 08:29:55,1678973395.82512,150,90,149,,,,57
2023-03-16 08:29:57,1678973397.81828,150,90,149,,,,47
2023-03-16 08:29:59,1678973399.823198,150,89,150,,,,39
2023-03-16 08:30:01,1678973401.828224,150,89,150,,,,45
2023-03-16 08:30:03,1678973403.818389,150,89,151,,,,62
2023-03-16 08:30:05,1678973405.823331,150,89,151,,,,51
2023-03-16 08:30:07,1678973407.829402,150,89,150,,,,46
2023-03-16 08:30:09,1678973409.819803,150,89,150,,,,59
2023-03-16 08:30:11,1678973411.825321,150,90,150,,,,66
2023-03-16 08:30:13,1678973413.83145,150,90,150,,,,66
2023-03-16 08:30:15,1678973415.831004,150,90,149,,,,70
2023-03-16 08:30:17,1678973417.821529,150,90,149,,,,66
2023-03-16 08:30:19,1678973419.826378,150,90,149,,,,59
2023-03-16 08:30:21,1678973421.831342,150,90,148,,,,50
2023-03-16 08:30:23,1678973423.820827,150,90,149,,,,43
2023-03-16 08:30:25,1678973425.825757,150,91,149,,,,59
2023-03-16 08:30:27,1678973427.83112,150,91,149,,,,72
2023-03-16 08:30:29,1678973429.820419,150,90,149,,,,59
2023-03-16 08:30:31,1678973431.825798,150,90,149,,,,53
2023-03-16 08:30:33,1678973433.831158,150,90,150,,,,47
2023-03-16 08:30:35,1678973435.820429,150,89,150,,,,72
2023-03-16 08:30:37,1678973437.825896,150,89,150,,,,76
2023-03-16 08:30:39,1678973439.83138,150,89,149,,,,75
2023-03-16 08:30:41,1678973441.820581,150,89,149,,,,77
2023-03-16 08:30:43,1678973443.82595,150,90,148,,,,70
2023-03-16 08:30:45,1678973445.831466,150,90,148,,,,53
2023-03-16 08:30:47,1678973447.820238,150,90,149,,,,43
2023-03-16 08:30:49,1678973449.825811,150,91,151,,,,46
2023-03-16 08:30:51,1678973451.831463,150,91,151,,,,53
2023-03-16 08:30:53,1678973453.820801,150,92,151,,,,44
2023-03-16 08:30:55,1678973455.826491,151,91,151,,,,34
2023-03-16 08:30:57,1678973457.815754,152,91,153,,,,43
2023-03-16 08:30:59,1678973459.820809,153,93,153,,,,72
2023-03-16 08:31:01,1678973461.826395,153,93,153,,,,77
2023-03-16 08:31:03,1678973463.81644,153,90,152,,,,78
2023-03-16 08:31:05,1678973465.821378,152,89,151,,,,75
2023-03-16 08:31:07,1678973467.825901,152,89,150,,,,63
2023-03-16 08:31:09,1678973469.815921,151,90,149,,,,48
2023-03-16 08:31:11,1678973471.82079,151,91,149,,,,40
2023-03-16 08:31:13,1678973473.826198,150,91,151,,,,36
2023-03-16 08:31:15,1678973475.826264,150,92,152,,,,46
2023-03-16 08:31:17,1678973477.816152,151,92,152,,,,59
2023-03-16 08:31:19,1678973479.821016,151,90,151,,,,51
2023-03-16 08:31:21,1678973481.826841,151,90,150,,,,50
2023-03-16 08:31:23,1678973483.816126,151,90,150,,,,57
2023-03-16 08:31:25,1678973485.821067,150,91,149,,,,65
2023-03-16 08:31:27,1678973487.826908,150,91,149,,,,68
2023-03-16 08:31:29,1678973489.817199,150,91,149,,,,57
2023-03-16 08:31:31,1678973491.8231,150,91,149,,,,57
2023-03-16 08:31:33,1678973493.828716,150,91,148,,,,71
2023-03-16 08:31:35,1678973495.818049,150,91,148,,,,54
2023-03-16 08:31:37,1678973497.821211,150,90,149,,,,46
2023-03-16 08:31:39,1678973499.827493,150,90,148,,,,38
2023-03-16 08:31:41,1678973501.816588,150,91,149,,,,42
2023-03-16 08:31:43,1678973503.821465,150,90,149,,,,42
2023-03-16 08:31:45,1678973505.827503,150,90,149,,,,39
2023-03-16 08:31:47,1678973507.817321,150,89,149,,,,34
2023-03-16 08:31:49,1678973509.822442,150,89,149,,,,30
2023-03-16 08:31:51,1678973511.827327,150,89,149,,,,29
2023-03-16 08:31:53,1678973513.81665,150,89,150,,,,32
2023-03-16 08:31:55,1678973515.821475,151,90,150,,,,51
2023-03-16 08:31:57,1678973517.826881,151,90,151,,,,76
2023-03-16 08:31:59,1678973519.816748,151,91,151,,,,74
2023-03-16 08:32:01,1678973521.821663,150,91,150,,,,64
2023-03-16 08:32:03,1678973523.827454,150,91,150,,,,49
2023-03-16 08:32:05,1678973525.818672,150,91,150,,,,39
